,ShowName,ShowType,Synopsis,NumberofPerformances,Years,OpeningDate,ClosingDate,Image,ImageName,ImageLink
26,Kinky Boots,Musical,"Charlie Price has suddenly inherited his father’s shoe factory, which is on the verge of bankruptcy. Trying to live up to his father’s legacy and save his family business, Charlie finds inspiration in Lola. A fabulous entertainer in need of some sturdy stilettos, Lola turns out to be the one person who can help Charlie become the man he’s meant to be. As they work to turn the factory around, this unlikely pair finds that they have more in common than they ever dreamed possible.",2505,6,2013-04-04,2019-04-07,https://www.broadway.org/logos/shows/kinkyboots.jpg,KinkyBoots,https://bsp-static.playbill.com/dims4/default/c75eff0/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F9e%2F7f%2Fb4c55ce042bc97f24a3229d3fa29%2Fkinky-boots-playbill-2013-03-03-web.jpg
27,The Producers,Musical,"Mel Brooks' adaptation of his 1968 film features fading producer Max Bialystock, who convinces accountant Leo Bloom to partner with him in producing Springtime for Hitler, a guaranteed flop, and then running off with the money they've raised.",2502,6,2001-04-19,2007-04-22,,Producers,https://bsp-static.playbill.com/dims4/default/32a75ce/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F7b%2F56%2F9ec03a3a41748d8d4603e23f38bb%2Fthe-producers-playbill-2001-03-21-web.jpg
28,Beautiful The Carole King Musical,Musical,"Beautiful tells the story of Carole King’s remarkable rise to stardom, from being part of a hit songwriting team with her husband Gerry Goffin, to her relationship with fellow writers and best friends Cynthia Weil and Barry Mann, to becoming one of the most successful solo acts in popular music history.",2416,6,2014-01-12,2019-10-27,,BeautifulTheCaroleKingMusical,https://bsp-static.playbill.com/dims4/default/708d855/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F9d%2F22%2F862cf2d0411cafe0acfc644e1d19%2Fbeautiful-the-carole-king-musical-playbill-11-21-13-web.jpg
29,Cabaret,"Musica, Drama",Cabaret singer Sally Bowles performs at the decadent Kit Kat Klub as the Nazi Party quietly takes hold of 1930s Berlin.,2377,6,1998-03-19,2004-01-04,,Cabaret,https://bsp-static.playbill.com/dims4/default/f00ac0e/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F0f%2Fca%2Ffb16f56446aca4e8a59875a32ecc%2Fcabaret-playbill-2014-03-21-web.jpg
30,Annie,Musical,"A spunky orphan girl finds a home with a New York millionaire during the Depression, but must dodge the clutches of her evil orphanage mistress, in Charles Strouse, Martin Charnin and Thomas Meehan's musical based on the popular Harold Gray comic strip.",2377,6,1977-04-21,1983-01-02,,Annie,https://bsp-static.playbill.com/dims4/default/232d1c7/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F53%2F5d%2F3d019cb141d5ba8e1623d9d56d72%2Fannie-playbill-1997-03-web.jpg
31,Rock of Ages,Musical,"In 1987, a small-town girl meets a big-city rocker on the Sunset Strip. They fall in love in L.A.'s most famous rock club against a backdrop of '80s hits from Journey, Bon Jovi, Poison and more.",2328,6,2009-04-07,2015-01-18,,RockofAges,https://bsp-static.playbill.com/dims4/default/c486a62/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Ffa%2F41%2Fbfdc64fb4401b650509dfdbc6560%2Frock-of-ages-playbill-2019-07-01-web.jpg
32,Man of La Mancha,Musical,"An imprisoned Miguel de Cervantes gets his fellow inmates to enact the story of his novel, Don Quixote, about an aged nobleman who declares himself a ""knight errant"" out to do battle for good and the love of a fair maiden, in Mitch Leigh, Joe Darion and Dale Wasserman's musical adaptation of the classic Cervantes novel.",2328,6,1965-11-22,1971-06-26,,ManofLaMancha,https://bsp-static.playbill.com/dims4/default/96c009c/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fe2%2F39%2Fe7de3ce141d8a5efdb8edd43fef0%2Fproxy.jpg
33,Abie's Irish Rose,Comedy,,2327,5,2022-05-23,2027-10-22,,AbiesIrishRose,https://bsp-static.playbill.com/dims4/default/dc4214d/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F44%2F9b%2F37525ff144b685525487239dec06%2FAbies-Irish-Rose-Playbill-11-54.jpg
34,Oklahoma!,Musical,"A confident cowboy competes with a surly, mysterious farmhand for the honor of taking a lovely young farm woman to a dance in Rodgers and Hammerstein's 1943 musical adaptation of Green Grow the Lilacs.",2212,5,1943-03-31,1948-05-29,https://www.broadway.org/logos/shows/oklahoma.jpg,Oklahoma,https://bsp-static.playbill.com/dims4/default/902ed8b/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F9c%2Fb2%2F51c821994a50bf704909de4edc24%2Foklahoma-playbill-2019-03-19-web.jpg
35,Smokey Joe's Cafe,Revue,"This revue of the beloved rock 'n' roll songs written by Jerry Leiber and Mike Stoller features ""Love Potion #9,"" ""On Broadway,"" ""I'm a Woman,"" ""Yakety Yak,"" and more.",2036,5,1995-03-02,2000-01-16,,SmokeyJoesCafe,https://bsp-static.playbill.com/dims4/default/3da1d93/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F7e%2F63%2F588b58e2421fa7a555be6cf1391e%2Fsmokey-joes-cafe-playbill-1995-02-web.jpg
