ShowOriginal,Theatre,WeekEnd,Weekly Total Attendance,Weekly Grosses,Numberof Performances,Number of Performances,Percent Capacity,ShowCaseCorrected,Show,RerunYear,Run
BEAUTIFUL,Stephen Sondheim,2017-04-30,7447,855156,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-02,6964,713755,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-03,7144,741371,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-11,6741,786770,8,0,0.82,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-14,7961,954528,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-21,7974,962923,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-05-28,7622,895881,8,0,0.93,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-06-08,6522,664904,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-06-18,6598,774941,8,0,0.80,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-06-25,6937,794601,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-07-05,7271,839287,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-07-16,6476,687939,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-07-23,6787,713693,8,0,0.83,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-07-30,6994,734341,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-08-01,7499,868194,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-08-10,8120,1006950,8,0,0.99,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-08-13,6624,675441,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-08-20,6595,672823,8,0,0.80,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-08-27,6658,674312,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-09-04,7243,813118,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-09-07,5354,569780,8,0,0.65,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-09-17,8029,906680,8,0,0.98,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-09-24,7584,883512,8,0,0.92,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-10-09,7641,809376,8,0,0.93,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-10-12,7954,1043268,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-10-15,8022,985332,8,0,0.98,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-10-22,7861,973876,8,0,0.96,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-10-29,7624,883816,8,0,0.93,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-11-06,7224,847025,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-11-19,7254,837611,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-11-26,7458,893883,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-02,6282,702502,8,0,0.77,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-03,7241,802301,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-11,7433,913090,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-17,7271,894555,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-24,5224,601085,7,0,0.73,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2017-12-31,8820,1158438,9,0,0.96,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-01-07,6351,707806,8,0,0.77,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-01-14,6878,772540,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-01-21,6982,744588,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-01-28,6959,743166,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-02-04,6516,654733,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-02-11,6664,634173,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-02-18,7081,729471,8,0,0.86,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-02-25,7317,701670,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-03-04,6762,623616,8,0,0.82,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-03-11,7135,664160,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-03-18,7688,651433,8,0,0.94,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-03-25,7129,681282,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-04-01,7987,686327,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-04-08,7491,816256,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-04-15,6855,717068,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-04-22,6358,710611,8,0,0.77,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-04-29,6677,717558,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-05-06,6420,670119,8,0,0.78,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-05-13,6701,749830,8,0,0.82,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-05-20,7169,779160,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-05-27,6534,658335,8,0,0.80,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-06-03,5890,596943,8,0,0.72,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-06-10,6874,741252,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-06-17,7266,744625,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-06-24,7539,784155,8,0,0.92,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-07-01,6968,713307,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-07-08,7094,674540,8,0,0.86,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-07-15,7326,737857,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-07-22,7288,736538,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-07-29,7981,845620,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-08-05,7797,811409,8,0,0.95,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-08-12,7458,602126,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-08-19,7186,595815,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-08-26,6855,580345,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-09-02,7440,651227,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-09-09,6696,639396,8,0,0.82,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-09-16,7632,757475,8,0,0.93,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-09-23,6980,720687,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-09-30,7264,781108,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-10-07,7543,829402,8,0,0.92,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-10-14,7462,807677,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-10-21,7747,828343,8,0,0.94,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-10-28,7347,743519,8,0,0.90,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-11-04,7237,666169,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-11-11,7134,761745,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-11-18,6037,633177,8,0,0.74,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-11-25,6026,656059,8,0,0.73,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-12-02,6887,789154,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-12-09,7087,822372,8,0,0.86,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-12-16,6517,741342,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-12-23,5443,596233,7,0,0.76,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2018-12-30,8734,1018891,9,0,0.95,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-01-06,7213,623691,8,0,0.88,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-01-13,6941,604652,8,0,0.85,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-01-20,7307,670658,8,0,0.89,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-01-27,7565,665549,8,0,0.92,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-02-03,6629,563391,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-02-10,7816,682323,8,0,0.95,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-02-17,7463,713925,8,0,0.91,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-02-24,7404,633985,8,0,0.90,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-03-03,5832,523597,8,0,0.71,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-03-10,6776,617256,8,0,0.83,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-03-17,6852,585129,8,0,0.83,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-03-24,7154,645420,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-03-31,6370,590931,8,0,0.78,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-04-07,6225,607204,8,0,0.76,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-04-14,6619,619177,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-04-21,6664,588217,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-04-28,7578,728754,8,0,0.92,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-05-05,6810,623319,8,0,0.83,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-05-12,6826,633120,8,0,0.83,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-05-19,7145,675006,8,0,0.87,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-05-26,6507,602634,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-06-02,5953,538226,8,0,0.73,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-06-09,6493,573745,8,0,0.79,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-06-16,6557,560968,8,0,0.80,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-06-23,6039,544343,8,0,0.74,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-06-30,5555,511449,8,0,0.68,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-07-07,5859,442881,8,0,0.71,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-07-14,6076,519142,8,0,0.74,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-07-21,6073,511025,8,0,0.74,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-07-28,6053,519931,8,0,0.74,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-08-04,5927,503111,8,0,0.72,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-08-11,6025,516273,8,0,0.73,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-08-18,6642,564642,8,0,0.81,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-08-25,6932,594161,8,0,0.84,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-09-01,7920,710398,8,0,0.96,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-09-08,7428,669831,8,0,0.90,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-09-15,8117,774698,8,0,0.99,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-09-22,7958,812478,8,0,0.97,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-09-29,8053,869182,8,0,0.98,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-10-06,8064,905610,8,0,0.98,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-10-13,8259,1061507,8,0,1.01,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-10-20,8086,1050336,8,0,0.99,Beautiful,Beautiful,,Original
BEAUTIFUL,Stephen Sondheim,2019-10-27,8258,1209465,8,0,1.01,Beautiful,Beautiful,,Original
BEETLEJUICE,Winter Garden,2019-03-31,2700,332008,0,2,1.00,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-04-07,9903,765711,0,7,0.95,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-04-14,9506,686456,0,7,0.91,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-04-21,10375,797929,0,7,0.99,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-04-28,11977,834395,4,4,1.00,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-05-05,10086,818904,8,0,0.84,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-05-12,9555,856787,8,0,0.80,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-05-19,9842,838049,8,0,0.82,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-05-26,10297,833073,8,0,0.86,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-06-02,9557,749093,8,0,0.80,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-06-09,9764,821713,8,0,0.82,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-06-16,10396,923837,8,0,0.87,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-06-23,10570,981335,8,0,0.88,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-06-30,10510,976547,8,0,0.88,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-07-07,11090,967707,8,0,0.93,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-07-14,11011,993855,8,0,0.92,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-07-21,11196,1036333,8,0,0.94,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-07-28,11326,1048493,8,0,0.95,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-08-04,11251,1058005,8,0,0.94,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-08-11,11175,1023008,8,0,0.94,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-08-18,11070,965907,8,0,0.93,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-08-25,10704,939044,8,0,0.90,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-09-01,11006,1001783,8,0,0.92,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-09-08,9731,834375,8,0,0.81,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-09-15,10800,889158,8,0,0.90,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-09-22,10523,856466,8,0,0.88,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-09-29,10039,899377,8,0,0.84,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-10-06,10361,925658,8,0,0.87,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-10-13,12045,1249045,8,0,1.01,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-10-20,11730,1104332,8,0,0.98,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-10-27,11254,1079679,8,0,0.94,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-11-03,11516,1075707,8,0,0.96,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-11-10,11569,1212735,8,0,0.97,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-11-17,9996,965164,8,0,0.84,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-11-24,9753,965560,8,0,0.82,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-12-01,12102,1589839,8,0,1.01,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-12-08,10923,1076500,8,0,0.91,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-12-15,11666,1182899,8,0,0.98,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-12-22,11723,1417445,8,0,0.98,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2019-12-29,13733,2175859,9,0,1.02,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-01-05,10680,1435799,7,0,1.02,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-01-12,12110,1243994,8,0,1.01,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-01-19,11711,1357341,8,0,0.98,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-01-26,11900,1145688,8,0,1.00,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-02-02,11492,1053960,8,0,0.96,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-02-09,11492,1044068,8,0,0.96,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-02-16,11438,1337689,8,0,0.96,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-02-23,12155,1319654,8,0,1.02,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-03-01,11373,1077912,8,0,0.95,Beetlejuice,Beetlejuice,,Original
BEETLEJUICE,Winter Garden,2020-03-08,10802,1023780,8,0,0.90,Beetlejuice,Beetlejuice,,Original
BERNHARDT/HAMLET,American Airlines,2018-09-02,2108,119604,0,3,0.95,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-09-09,4301,243681,0,7,0.83,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-09-16,4921,301943,0,8,0.84,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-09-23,5473,308873,0,8,0.93,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-09-30,4751,280542,7,0,0.92,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-10-07,4556,365371,8,0,0.77,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-10-14,4368,366680,8,0,0.74,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-10-21,4744,397611,8,0,0.81,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-10-28,4637,345038,8,0,0.79,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-11-04,4625,373036,8,0,0.79,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-11-11,4849,422323,8,0,0.82,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BERNHARDT/HAMLET,American Airlines,2018-11-18,5409,361533,8,0,0.92,Bernhardt/Hamlet,Bernhardt/Hamlet,,Original
BETRAYAL 2019,Jacobs,2019-08-18,3769,420282,0,4,0.91,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-08-25,6105,617088,0,7,0.84,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-09-01,7199,626943,0,8,0.87,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-09-08,7718,623475,5,3,0.93,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-09-15,7631,803113,8,0,0.92,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-09-22,6172,683274,8,0,0.74,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-09-29,5938,658615,8,0,0.72,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-10-06,6116,688901,8,0,0.74,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-10-13,6977,730993,8,0,0.84,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-10-20,6809,723032,8,0,0.82,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-10-27,6399,678449,8,0,0.77,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-11-03,6438,610796,8,0,0.78,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-11-10,6857,697429,8,0,0.83,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-11-17,6243,624575,8,0,0.75,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-11-24,5663,549436,8,0,0.68,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-12-01,6339,623431,8,0,0.76,Betrayal 2019,Betrayal ,2019,Rerun
BETRAYAL 2019,Jacobs,2019-12-08,7563,826147,8,0,0.91,Betrayal 2019,Betrayal ,2019,Rerun
BLACK TO THE FUTURE,Marquis,2016-02-10,1603,152025,1,0,0.99,Black to the Future,Black to the Future,,Original
BLACK TO THE FUTURE,Marquis,2016-09-18,1589,154181,1,0,0.98,Black to the Future,Black to the Future,,Original
BLACK TO THE FUTURE,Marquis,2016-09-25,1573,157184,1,0,0.97,Black to the Future,Black to the Future,,Original
BLACK TO THE FUTURE,Marquis,2016-10-16,1626,171884,1,0,1.00,Black to the Future,Black to the Future,,Original
BLACK TO THE FUTURE,Marquis,2016-10-23,1401,132942,1,0,0.86,Black to the Future,Black to the Future,,Original
BLACK TO THE FUTURE,Marquis,2016-10-30,1509,137677,1,0,0.93,Black to the Future,Black to the Future,,Original
BLACKBIRD,Belasco,2016-01-05,5756,417680,8,0,0.71,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-02-14,5655,439753,0,7,0.79,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-02-21,5498,417989,0,8,0.68,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-02-28,5545,399452,0,8,0.68,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-03-04,5685,443329,8,0,0.70,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-03-13,6519,411984,4,4,0.80,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-03-20,6420,483635,8,0,0.79,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-03-27,6223,475196,8,0,0.77,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-04-17,5064,414556,8,0,0.62,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-04-24,5194,371241,8,0,0.64,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-05-06,5680,413284,8,0,0.70,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-05-15,5541,424525,8,0,0.68,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-05-22,6009,434330,8,0,0.74,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-05-29,6523,392758,8,0,0.80,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-06-03,5574,365048,0,8,0.69,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-07-02,1865,156916,0,2,0.91,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-08-05,5470,408567,8,0,0.67,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-10-04,5443,433038,8,0,0.67,Blackbird,Blackbird,,Original
BLACKBIRD,Belasco,2016-12-06,7375,552394,8,0,0.91,Blackbird,Blackbird,,Original
BRIGHT STAR,Cort,2016-01-05,5184,369471,8,0,0.62,Bright Star,Bright Star,,Original
BRIGHT STAR,Cort,2016-02-28,3238,206573,0,4,0.77,Bright Star,Bright Star,,Original
BRIGHT STAR,Cort,2016-03-04,6141,421067,8,0,0.73,Bright Star,Bright Star,,Original
BRIGHT STAR,Cort,2016-03-13,6481,301410,0,8,0.77,Bright Star,Bright Star,,Original
