﻿Index,Month,Borough,Category,Event Type,Events
719,2017-10,Bronx,Documentary,Shooting Permit,2
720,2017-10,Bronx,Music Video,Shooting Permit,1
721,2017-10,Bronx,Still Photography,Shooting Permit,1
722,2017-10,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,4
723,2017-10,Bronx,Television,Rigging Permit,2
724,2017-10,Bronx,Television,Shooting Permit,31
725,2017-10,Bronx,Television,Theater Load in and Load Outs,2
726,2017-10,Brooklyn,Commercial,Shooting Permit,20
727,2017-10,Brooklyn,Documentary,Shooting Permit,1
728,2017-10,Brooklyn,Film,Rigging Permit,1
729,2017-10,Brooklyn,Film,Shooting Permit,52
730,2017-10,Brooklyn,Music Video,Shooting Permit,2
731,2017-10,Brooklyn,Still Photography,Shooting Permit,23
732,2017-10,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,3
733,2017-10,Brooklyn,Television,Rigging Permit,2
734,2017-10,Brooklyn,Television,Shooting Permit,196
735,2017-10,Brooklyn,Television,Theater Load in and Load Outs,2
736,2017-10,Brooklyn,Theater,Theater Load in and Load Outs,49
737,2017-10,Brooklyn,WEB,Shooting Permit,24
738,2017-10,Manhattan,Commercial,Shooting Permit,45
739,2017-10,Manhattan,Documentary,Shooting Permit,1
740,2017-10,Manhattan,Film,Rigging Permit,1
741,2017-10,Manhattan,Film,Shooting Permit,157
742,2017-10,Manhattan,Music Video,Shooting Permit,4
743,2017-10,Manhattan,Still Photography,Shooting Permit,39
744,2017-10,Manhattan,Student,Rigging Permit,4
745,2017-10,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,6
746,2017-10,Manhattan,Television,Rigging Permit,2
747,2017-10,Manhattan,Television,Shooting Permit,308
748,2017-10,Manhattan,Theater,Shooting Permit,3
749,2017-10,Manhattan,Theater,Theater Load in and Load Outs,98
750,2017-10,Manhattan,WEB,Shooting Permit,47
751,2017-10,Queens,Commercial,Shooting Permit,8
752,2017-10,Queens,Film,Shooting Permit,43
753,2017-10,Queens,Music Video,Shooting Permit,2
754,2017-10,Queens,Still Photography,Shooting Permit,4
755,2017-10,Queens,Television,Shooting Permit,156
756,2017-10,Queens,WEB,Shooting Permit,5
757,2017-10,Staten Island,Film,Shooting Permit,1
758,2017-10,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
759,2017-10,Staten Island,Television,Shooting Permit,8
760,2017-11,Bronx,Film,Shooting Permit,6
761,2017-11,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
762,2017-11,Bronx,Television,Shooting Permit,25
763,2017-11,Brooklyn,Commercial,Shooting Permit,25
764,2017-11,Brooklyn,Film,Rigging Permit,2
765,2017-11,Brooklyn,Film,Shooting Permit,64
766,2017-11,Brooklyn,Still Photography,Shooting Permit,15
767,2017-11,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,2
768,2017-11,Brooklyn,Television,Rigging Permit,5
769,2017-11,Brooklyn,Television,Shooting Permit,192
770,2017-11,Brooklyn,Television,Theater Load in and Load Outs,1
771,2017-11,Brooklyn,Theater,Theater Load in and Load Outs,50
772,2017-11,Brooklyn,WEB,Shooting Permit,8
773,2017-11,Manhattan,Commercial,Shooting Permit,50
774,2017-11,Manhattan,Film,Shooting Permit,91
775,2017-11,Manhattan,Still Photography,Shooting Permit,80
776,2017-11,Manhattan,Student,Rigging Permit,7
777,2017-11,Manhattan,Student,Shooting Permit,2
778,2017-11,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,10
779,2017-11,Manhattan,Television,Rigging Permit,3
780,2017-11,Manhattan,Television,Shooting Permit,323
781,2017-11,Manhattan,Television,Theater Load in and Load Outs,2
782,2017-11,Manhattan,Theater,Theater Load in and Load Outs,85
783,2017-11,Manhattan,WEB,Shooting Permit,48
784,2017-11,Queens,Film,Shooting Permit,15
785,2017-11,Queens,Still Photography,Shooting Permit,7
786,2017-11,Queens,Student,Shooting Permit,1
787,2017-11,Queens,Television,DCAS Prep/Shoot/Wrap Permit,2
788,2017-11,Queens,Television,Rigging Permit,1
789,2017-11,Queens,Television,Shooting Permit,144
790,2017-11,Queens,WEB,Shooting Permit,2
791,2017-11,Staten Island,Film,Shooting Permit,1
792,2017-11,Staten Island,Television,Shooting Permit,1
793,2017-12,Bronx,Film,DCAS Prep/Shoot/Wrap Permit,4
794,2017-12,Bronx,Film,Shooting Permit,4
795,2017-12,Bronx,Still Photography,Shooting Permit,2
796,2017-12,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,3
797,2017-12,Bronx,Television,Shooting Permit,31
798,2017-12,Brooklyn,Commercial,Shooting Permit,17
799,2017-12,Brooklyn,Film,Shooting Permit,34
800,2017-12,Brooklyn,Still Photography,Shooting Permit,7
801,2017-12,Brooklyn,Student,Shooting Permit,3
802,2017-12,Brooklyn,Television,Shooting Permit,149
803,2017-12,Brooklyn,Theater,Theater Load in and Load Outs,30
804,2017-12,Brooklyn,WEB,Shooting Permit,5
805,2017-12,Manhattan,Commercial,Shooting Permit,19
806,2017-12,Manhattan,Film,Shooting Permit,33
807,2017-12,Manhattan,Music Video,Shooting Permit,5
808,2017-12,Manhattan,Still Photography,Shooting Permit,28
809,2017-12,Manhattan,Student,Rigging Permit,2
810,2017-12,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,4
811,2017-12,Manhattan,Television,Rigging Permit,8
812,2017-12,Manhattan,Television,Shooting Permit,289
813,2017-12,Manhattan,Theater,Shooting Permit,2
814,2017-12,Manhattan,Theater,Theater Load in and Load Outs,71
815,2017-12,Manhattan,WEB,Shooting Permit,22
816,2017-12,Queens,Commercial,Shooting Permit,6
817,2017-12,Queens,Film,Shooting Permit,25
818,2017-12,Queens,Television,Rigging Permit,2
819,2017-12,Queens,Television,Shooting Permit,137
820,2017-12,Staten Island,Film,Shooting Permit,6
821,2017-12,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
822,2017-12,Staten Island,Television,Shooting Permit,3
823,2018-01,Bronx,Film,DCAS Prep/Shoot/Wrap Permit,1
824,2018-01,Bronx,Film,Shooting Permit,2
825,2018-01,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,4
826,2018-01,Bronx,Television,Shooting Permit,14
827,2018-01,Brooklyn,Commercial,Shooting Permit,18
828,2018-01,Brooklyn,Film,Shooting Permit,18
829,2018-01,Brooklyn,Music Video,Shooting Permit,2
830,2018-01,Brooklyn,Still Photography,Shooting Permit,2
831,2018-01,Brooklyn,Television,Shooting Permit,130
832,2018-01,Brooklyn,Theater,Theater Load in and Load Outs,10
833,2018-01,Brooklyn,WEB,Shooting Permit,2
834,2018-01,Manhattan,Commercial,Shooting Permit,52
835,2018-01,Manhattan,Film,Shooting Permit,26
836,2018-01,Manhattan,Still Photography,Shooting Permit,13
837,2018-01,Manhattan,Student,Rigging Permit,2
838,2018-01,Manhattan,Student,Shooting Permit,1
839,2018-01,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,8
840,2018-01,Manhattan,Television,Rigging Permit,3
841,2018-01,Manhattan,Television,Shooting Permit,251
842,2018-01,Manhattan,Television,Theater Load in and Load Outs,8
843,2018-01,Manhattan,Theater,Shooting Permit,1
844,2018-01,Manhattan,Theater,Theater Load in and Load Outs,57
845,2018-01,Manhattan,WEB,Shooting Permit,12
846,2018-01,Queens,Commercial,Shooting Permit,2
847,2018-01,Queens,Film,Shooting Permit,9
848,2018-01,Queens,Still Photography,Shooting Permit,4
849,2018-01,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
850,2018-01,Queens,Television,Shooting Permit,136
851,2018-01,Queens,WEB,Shooting Permit,1
852,2018-01,Staten Island,Television,Shooting Permit,2
853,2018-02,Bronx,Commercial,Shooting Permit,1
854,2018-02,Bronx,Film,Shooting Permit,6
855,2018-02,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,4
856,2018-02,Bronx,Television,Shooting Permit,25
857,2018-02,Brooklyn,Commercial,Shooting Permit,16
858,2018-02,Brooklyn,Film,Shooting Permit,49
859,2018-02,Brooklyn,Music Video,Shooting Permit,6
860,2018-02,Brooklyn,Still Photography,Shooting Permit,3
861,2018-02,Brooklyn,Television,Shooting Permit,159
862,2018-02,Brooklyn,Theater,Theater Load in and Load Outs,15
863,2018-02,Brooklyn,WEB,Shooting Permit,2
864,2018-02,Manhattan,Commercial,Shooting Permit,28
865,2018-02,Manhattan,Film,Shooting Permit,71
866,2018-02,Manhattan,Music Video,Shooting Permit,7
867,2018-02,Manhattan,Still Photography,Shooting Permit,29
868,2018-02,Manhattan,Student,Rigging Permit,4
869,2018-02,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,8
870,2018-02,Manhattan,Television,Shooting Permit,211
871,2018-02,Manhattan,Theater,Shooting Permit,3
872,2018-02,Manhattan,Theater,Theater Load in and Load Outs,77
873,2018-02,Manhattan,WEB,Shooting Permit,21
874,2018-02,Queens,Commercial,Shooting Permit,3
875,2018-02,Queens,Film,Shooting Permit,18
876,2018-02,Queens,Television,Rigging Permit,4
877,2018-02,Queens,Television,Shooting Permit,157
878,2018-02,Staten Island,Television,Shooting Permit,8
879,2018-03,Bronx,Commercial,Shooting Permit,6
880,2018-03,Bronx,Film,Shooting Permit,2
881,2018-03,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
882,2018-03,Bronx,Television,Shooting Permit,43
883,2018-03,Brooklyn,Commercial,Shooting Permit,19
884,2018-03,Brooklyn,Documentary,Shooting Permit,5
885,2018-03,Brooklyn,Film,Shooting Permit,22
886,2018-03,Brooklyn,Still Photography,Shooting Permit,17
887,2018-03,Brooklyn,Student,Shooting Permit,2
888,2018-03,Brooklyn,Television,Shooting Permit,241
889,2018-03,Brooklyn,Television,Theater Load in and Load Outs,3
890,2018-03,Brooklyn,Theater,Theater Load in and Load Outs,24
891,2018-03,Brooklyn,WEB,Shooting Permit,17
892,2018-03,Manhattan,Commercial,Shooting Permit,43
893,2018-03,Manhattan,Documentary,Shooting Permit,3
894,2018-03,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,2
895,2018-03,Manhattan,Film,Shooting Permit,80
896,2018-03,Manhattan,Film,Theater Load in and Load Outs,2
897,2018-03,Manhattan,Music Video,Shooting Permit,1
898,2018-03,Manhattan,Still Photography,Shooting Permit,50
899,2018-03,Manhattan,Student,Rigging Permit,2
900,2018-03,Manhattan,Student,Shooting Permit,1
901,2018-03,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,7
902,2018-03,Manhattan,Television,Rigging Permit,4
903,2018-03,Manhattan,Television,Shooting Permit,365
904,2018-03,Manhattan,Theater,Shooting Permit,5
905,2018-03,Manhattan,Theater,Theater Load in and Load Outs,64
906,2018-03,Manhattan,WEB,Shooting Permit,19
907,2018-03,Queens,Commercial,Shooting Permit,4
908,2018-03,Queens,Film,Shooting Permit,4
909,2018-03,Queens,Still Photography,Shooting Permit,2
910,2018-03,Queens,Student,Shooting Permit,4
911,2018-03,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
912,2018-03,Queens,Television,Rigging Permit,3
913,2018-03,Queens,Television,Shooting Permit,191
914,2018-03,Staten Island,Television,Shooting Permit,8
915,2018-04,Bronx,Film,Shooting Permit,9
916,2018-04,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,5
917,2018-04,Bronx,Television,Shooting Permit,45
918,2018-04,Brooklyn,Commercial,Shooting Permit,9
919,2018-04,Brooklyn,Documentary,Shooting Permit,3
920,2018-04,Brooklyn,Film,Shooting Permit,40
921,2018-04,Brooklyn,Music Video,Shooting Permit,1
922,2018-04,Brooklyn,Still Photography,Shooting Permit,11
923,2018-04,Brooklyn,Student,Shooting Permit,1
924,2018-04,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,1
925,2018-04,Brooklyn,Television,Rigging Permit,3
926,2018-04,Brooklyn,Television,Shooting Permit,123
927,2018-04,Brooklyn,Theater,Theater Load in and Load Outs,21
928,2018-04,Brooklyn,WEB,Shooting Permit,14
929,2018-04,Manhattan,Commercial,Shooting Permit,42
930,2018-04,Manhattan,Documentary,Shooting Permit,4
931,2018-04,Manhattan,Film,Shooting Permit,32
932,2018-04,Manhattan,Film,Theater Load in and Load Outs,5
933,2018-04,Manhattan,Still Photography,Shooting Permit,70
934,2018-04,Manhattan,Student,Rigging Permit,2
935,2018-04,Manhattan,Student,Shooting Permit,1
936,2018-04,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,2
937,2018-04,Manhattan,Television,Rigging Permit,13
938,2018-04,Manhattan,Television,Shooting Permit,226
939,2018-04,Manhattan,Television,Theater Load in and Load Outs,1
940,2018-04,Manhattan,Theater,Shooting Permit,1
941,2018-04,Manhattan,Theater,Theater Load in and Load Outs,72
942,2018-04,Manhattan,WEB,Rigging Permit,1
943,2018-04,Manhattan,WEB,Shooting Permit,51
944,2018-04,Queens,Commercial,Shooting Permit,1
945,2018-04,Queens,Film,Shooting Permit,3
946,2018-04,Queens,Still Photography,Shooting Permit,1
947,2018-04,Queens,Television,Rigging Permit,5
948,2018-04,Queens,Television,Shooting Permit,71
949,2018-04,Queens,WEB,Shooting Permit,8
950,2018-04,Staten Island,Film,Shooting Permit,5
951,2018-04,Staten Island,Television,Rigging Permit,1
952,2018-04,Staten Island,Television,Shooting Permit,10
953,2018-05,Bronx,Commercial,Shooting Permit,1
954,2018-05,Bronx,Documentary,Shooting Permit,1
955,2018-05,Bronx,Film,Shooting Permit,9
956,2018-05,Bronx,Still Photography,Shooting Permit,2
957,2018-05,Bronx,Television,Shooting Permit,24
958,2018-05,Bronx,WEB,Shooting Permit,6
959,2018-05,Brooklyn,Commercial,Shooting Permit,19
960,2018-05,Brooklyn,Documentary,Shooting Permit,2
961,2018-05,Brooklyn,Film,DCAS Prep/Shoot/Wrap Permit,2
962,2018-05,Brooklyn,Film,Rigging Permit,3
963,2018-05,Brooklyn,Film,Shooting Permit,73
964,2018-05,Brooklyn,Still Photography,Shooting Permit,45
965,2018-05,Brooklyn,Television,Shooting Permit,144
966,2018-05,Brooklyn,Theater,Theater Load in and Load Outs,26
967,2018-05,Brooklyn,WEB,Shooting Permit,9
968,2018-05,Manhattan,Commercial,Shooting Permit,62
969,2018-05,Manhattan,Commercial,Theater Load in and Load Outs,2
970,2018-05,Manhattan,Documentary,Shooting Permit,4
971,2018-05,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,1
972,2018-05,Manhattan,Film,Rigging Permit,7
973,2018-05,Manhattan,Film,Shooting Permit,144
974,2018-05,Manhattan,Still Photography,Shooting Permit,101
975,2018-05,Manhattan,Student,Rigging Permit,3
976,2018-05,Manhattan,Student,Shooting Permit,1
977,2018-05,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,3
978,2018-05,Manhattan,Television,Rigging Permit,22
979,2018-05,Manhattan,Television,Shooting Permit,238
980,2018-05,Manhattan,Television,Theater Load in and Load Outs,8
981,2018-05,Manhattan,Theater,Shooting Permit,7
982,2018-05,Manhattan,Theater,Theater Load in and Load Outs,74
983,2018-05,Manhattan,WEB,Shooting Permit,34
984,2018-05,Queens,Commercial,Shooting Permit,2
985,2018-05,Queens,Documentary,Shooting Permit,2
986,2018-05,Queens,Film,Shooting Permit,20
987,2018-05,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
988,2018-05,Queens,Television,Shooting Permit,70
989,2018-05,Queens,Television,Theater Load in and Load Outs,2
990,2018-05,Staten Island,Documentary,Shooting Permit,1
991,2018-05,Staten Island,Film,Shooting Permit,5
992,2018-06,Bronx,Commercial,Shooting Permit,5
993,2018-06,Bronx,Film,Rigging Permit,3
994,2018-06,Bronx,Film,Shooting Permit,2
995,2018-06,Bronx,Television,Shooting Permit,24
996,2018-06,Brooklyn,Commercial,Shooting Permit,35
997,2018-06,Brooklyn,Documentary,Shooting Permit,2
998,2018-06,Brooklyn,Film,Rigging Permit,1
999,2018-06,Brooklyn,Film,Shooting Permit,48
"1,000",2018-06,Brooklyn,Music Video,Shooting Permit,1
"1,001",2018-06,Brooklyn,Still Photography,Shooting Permit,28
"1,002",2018-06,Brooklyn,Television,Shooting Permit,130
"1,003",2018-06,Brooklyn,Theater,Theater Load in and Load Outs,14
"1,004",2018-06,Brooklyn,WEB,Shooting Permit,25
"1,005",2018-06,Manhattan,Commercial,DCAS Prep/Shoot/Wrap Permit,2
"1,006",2018-06,Manhattan,Commercial,Shooting Permit,65
"1,007",2018-06,Manhattan,Documentary,Shooting Permit,2
"1,008",2018-06,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,2
"1,009",2018-06,Manhattan,Film,Rigging Permit,3
"1,010",2018-06,Manhattan,Film,Shooting Permit,131
"1,011",2018-06,Manhattan,Music Video,Shooting Permit,11
"1,012",2018-06,Manhattan,Still Photography,Shooting Permit,49
"1,013",2018-06,Manhattan,Television,Rigging Permit,20
"1,014",2018-06,Manhattan,Television,Shooting Permit,193
"1,015",2018-06,Manhattan,Television,Theater Load in and Load Outs,2
"1,016",2018-06,Manhattan,Theater,Shooting Permit,6
"1,017",2018-06,Manhattan,Theater,Theater Load in and Load Outs,81
"1,018",2018-06,Manhattan,WEB,Shooting Permit,46
"1,019",2018-06,Queens,Commercial,Shooting Permit,7
"1,020",2018-06,Queens,Documentary,Shooting Permit,1
"1,021",2018-06,Queens,Film,Shooting Permit,9
"1,022",2018-06,Queens,Still Photography,Shooting Permit,3
"1,023",2018-06,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,024",2018-06,Queens,Television,Shooting Permit,62
"1,025",2018-06,Queens,WEB,Shooting Permit,12
"1,026",2018-06,Staten Island,Film,Shooting Permit,26
"1,027",2018-06,Staten Island,Music Video,Shooting Permit,2
"1,028",2018-06,Staten Island,Student,Shooting Permit,3
"1,029",2018-06,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,030",2018-06,Staten Island,Television,Shooting Permit,2
"1,031",2018-07,Bronx,Commercial,Shooting Permit,6
"1,032",2018-07,Bronx,Film,Shooting Permit,8
"1,033",2018-07,Bronx,Television,Shooting Permit,28
"1,034",2018-07,Bronx,Theater,Theater Load in and Load Outs,1
"1,035",2018-07,Bronx,WEB,Shooting Permit,1
"1,036",2018-07,Brooklyn,Commercial,Shooting Permit,33
"1,037",2018-07,Brooklyn,Documentary,Shooting Permit,1
"1,038",2018-07,Brooklyn,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,039",2018-07,Brooklyn,Film,Shooting Permit,49
"1,040",2018-07,Brooklyn,Music Video,Shooting Permit,14
"1,041",2018-07,Brooklyn,Still Photography,Shooting Permit,14
"1,042",2018-07,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,043",2018-07,Brooklyn,Television,Rigging Permit,1
"1,044",2018-07,Brooklyn,Television,Shooting Permit,189
"1,045",2018-07,Brooklyn,Television,Theater Load in and Load Outs,2
"1,046",2018-07,Brooklyn,Theater,Theater Load in and Load Outs,4
"1,047",2018-07,Brooklyn,WEB,Shooting Permit,19
"1,048",2018-07,Manhattan,Commercial,Shooting Permit,41
"1,049",2018-07,Manhattan,Documentary,Shooting Permit,9
"1,050",2018-07,Manhattan,Film,Shooting Permit,92
"1,051",2018-07,Manhattan,Music Video,Shooting Permit,7
"1,052",2018-07,Manhattan,Still Photography,Shooting Permit,49
"1,053",2018-07,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,4
"1,054",2018-07,Manhattan,Television,Rigging Permit,13
"1,055",2018-07,Manhattan,Television,Shooting Permit,242
"1,056",2018-07,Manhattan,Television,Theater Load in and Load Outs,1
"1,057",2018-07,Manhattan,Theater,Shooting Permit,4
"1,058",2018-07,Manhattan,Theater,Theater Load in and Load Outs,44
"1,059",2018-07,Manhattan,WEB,Shooting Permit,25
"1,060",2018-07,Queens,Commercial,Shooting Permit,5
"1,061",2018-07,Queens,Film,Shooting Permit,24
"1,062",2018-07,Queens,Music Video,Shooting Permit,1
"1,063",2018-07,Queens,Still Photography,Shooting Permit,4
"1,064",2018-07,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,065",2018-07,Queens,Television,Shooting Permit,138
"1,066",2018-07,Queens,WEB,Shooting Permit,8
"1,067",2018-07,Staten Island,Film,Shooting Permit,9
"1,068",2018-07,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,069",2018-07,Staten Island,Television,Shooting Permit,1
"1,070",2018-08,Bronx,Commercial,Shooting Permit,3
"1,071",2018-08,Bronx,Film,Shooting Permit,28
"1,072",2018-08,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,3
"1,073",2018-08,Bronx,Television,Rigging Permit,2
"1,074",2018-08,Bronx,Television,Shooting Permit,27
"1,075",2018-08,Bronx,WEB,Shooting Permit,4
"1,076",2018-08,Brooklyn,Commercial,Shooting Permit,35
"1,077",2018-08,Brooklyn,Documentary,Shooting Permit,1
"1,078",2018-08,Brooklyn,Film,Shooting Permit,68
"1,079",2018-08,Brooklyn,Music Video,Shooting Permit,2
"1,080",2018-08,Brooklyn,Still Photography,Shooting Permit,23
"1,081",2018-08,Brooklyn,Television,Rigging Permit,5
"1,082",2018-08,Brooklyn,Television,Shooting Permit,247
"1,083",2018-08,Brooklyn,Theater,Theater Load in and Load Outs,16
"1,084",2018-08,Brooklyn,WEB,Shooting Permit,26
"1,085",2018-08,Manhattan,Commercial,Shooting Permit,77
"1,086",2018-08,Manhattan,Documentary,Shooting Permit,1
"1,087",2018-08,Manhattan,Film,Rigging Permit,3
"1,088",2018-08,Manhattan,Film,Shooting Permit,45
"1,089",2018-08,Manhattan,Music Video,Shooting Permit,3
"1,090",2018-08,Manhattan,Still Photography,Shooting Permit,20
"1,091",2018-08,Manhattan,Student,Rigging Permit,2
"1,092",2018-08,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,12
"1,093",2018-08,Manhattan,Television,Rigging Permit,27
"1,094",2018-08,Manhattan,Television,Shooting Permit,322
"1,095",2018-08,Manhattan,Theater,Shooting Permit,1
"1,096",2018-08,Manhattan,Theater,Theater Load in and Load Outs,45
"1,097",2018-08,Manhattan,WEB,Rigging Permit,2
"1,098",2018-08,Manhattan,WEB,Shooting Permit,34
"1,099",2018-08,Queens,Commercial,Shooting Permit,12
"1,100",2018-08,Queens,Documentary,Shooting Permit,3
"1,101",2018-08,Queens,Film,Shooting Permit,8
"1,102",2018-08,Queens,Television,Rigging Permit,1
"1,103",2018-08,Queens,Television,Shooting Permit,195
"1,104",2018-08,Queens,WEB,Shooting Permit,12
"1,105",2018-08,Staten Island,Film,Shooting Permit,1
"1,106",2018-08,Staten Island,Television,Shooting Permit,3
"1,107",2018-09,Bronx,Film,Rigging Permit,1
"1,108",2018-09,Bronx,Film,Shooting Permit,23
"1,109",2018-09,Bronx,Student,Shooting Permit,1
"1,110",2018-09,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,111",2018-09,Bronx,Television,Rigging Permit,1
"1,112",2018-09,Bronx,Television,Shooting Permit,20
"1,113",2018-09,Bronx,WEB,Shooting Permit,3
"1,114",2018-09,Brooklyn,Commercial,Shooting Permit,27
"1,115",2018-09,Brooklyn,Documentary,Shooting Permit,2
"1,116",2018-09,Brooklyn,Film,Shooting Permit,43
"1,117",2018-09,Brooklyn,Music Video,Shooting Permit,5
"1,118",2018-09,Brooklyn,Still Photography,Shooting Permit,34
"1,119",2018-09,Brooklyn,Student,Shooting Permit,1
"1,120",2018-09,Brooklyn,Television,Shooting Permit,166
"1,121",2018-09,Brooklyn,Theater,Theater Load in and Load Outs,22
"1,122",2018-09,Brooklyn,WEB,Shooting Permit,10
"1,123",2018-09,Manhattan,Commercial,Rigging Permit,1
"1,124",2018-09,Manhattan,Commercial,Shooting Permit,71
"1,125",2018-09,Manhattan,Commercial,Theater Load in and Load Outs,1
"1,126",2018-09,Manhattan,Documentary,Shooting Permit,4
"1,127",2018-09,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,128",2018-09,Manhattan,Film,Rigging Permit,6
"1,129",2018-09,Manhattan,Film,Shooting Permit,73
"1,130",2018-09,Manhattan,Music Video,Shooting Permit,4
"1,131",2018-09,Manhattan,Still Photography,DCAS Prep/Shoot/Wrap Permit,2
"1,132",2018-09,Manhattan,Still Photography,Shooting Permit,51
"1,133",2018-09,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,6
"1,134",2018-09,Manhattan,Television,Rigging Permit,12
"1,135",2018-09,Manhattan,Television,Shooting Permit,283
"1,136",2018-09,Manhattan,Television,Theater Load in and Load Outs,4
"1,137",2018-09,Manhattan,Theater,Shooting Permit,1
"1,138",2018-09,Manhattan,Theater,Theater Load in and Load Outs,72
"1,139",2018-09,Manhattan,WEB,Shooting Permit,23
"1,140",2018-09,Queens,Commercial,Shooting Permit,2
"1,141",2018-09,Queens,Film,Shooting Permit,15
"1,142",2018-09,Queens,Music Video,Shooting Permit,2
"1,143",2018-09,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,144",2018-09,Queens,Television,Shooting Permit,206
"1,145",2018-09,Queens,Television,Theater Load in and Load Outs,3
"1,146",2018-09,Queens,WEB,Shooting Permit,4
"1,147",2018-09,Staten Island,Film,Shooting Permit,2
"1,148",2018-09,Staten Island,Television,Shooting Permit,14
"1,149",2018-10,Bronx,Commercial,Shooting Permit,4
"1,150",2018-10,Bronx,Film,Shooting Permit,11
"1,151",2018-10,Bronx,Music Video,Shooting Permit,1
"1,152",2018-10,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,7
"1,153",2018-10,Bronx,Television,Rigging Permit,2
"1,154",2018-10,Bronx,Television,Shooting Permit,28
"1,155",2018-10,Brooklyn,Commercial,Shooting Permit,43
"1,156",2018-10,Brooklyn,Documentary,Shooting Permit,4
"1,157",2018-10,Brooklyn,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,158",2018-10,Brooklyn,Film,Shooting Permit,76
"1,159",2018-10,Brooklyn,Music Video,Shooting Permit,2
"1,160",2018-10,Brooklyn,Still Photography,Shooting Permit,41
"1,161",2018-10,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,4
"1,162",2018-10,Brooklyn,Television,Rigging Permit,1
"1,163",2018-10,Brooklyn,Television,Shooting Permit,268
"1,164",2018-10,Brooklyn,Television,Theater Load in and Load Outs,1
"1,165",2018-10,Brooklyn,Theater,Shooting Permit,1
"1,166",2018-10,Brooklyn,Theater,Theater Load in and Load Outs,40
"1,167",2018-10,Brooklyn,WEB,Shooting Permit,22
"1,168",2018-10,Manhattan,Commercial,Shooting Permit,59
"1,169",2018-10,Manhattan,Commercial,Theater Load in and Load Outs,2
"1,170",2018-10,Manhattan,Documentary,Shooting Permit,6
"1,171",2018-10,Manhattan,Film,Rigging Permit,1
"1,172",2018-10,Manhattan,Film,Shooting Permit,112
"1,173",2018-10,Manhattan,Music Video,Shooting Permit,1
"1,174",2018-10,Manhattan,Still Photography,Shooting Permit,139
"1,175",2018-10,Manhattan,Student,Rigging Permit,4
"1,176",2018-10,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,8
"1,177",2018-10,Manhattan,Television,Rigging Permit,14
"1,178",2018-10,Manhattan,Television,Shooting Permit,370
"1,179",2018-10,Manhattan,Television,Theater Load in and Load Outs,2
"1,180",2018-10,Manhattan,Theater,Shooting Permit,6
"1,181",2018-10,Manhattan,Theater,Theater Load in and Load Outs,120
"1,182",2018-10,Manhattan,WEB,Shooting Permit,38
"1,183",2018-10,Queens,Commercial,Shooting Permit,7
"1,184",2018-10,Queens,Film,Shooting Permit,6
"1,185",2018-10,Queens,Still Photography,Shooting Permit,10
"1,186",2018-10,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,187",2018-10,Queens,Television,Rigging Permit,7
"1,188",2018-10,Queens,Television,Shooting Permit,224
